veg,wholesale,farmshop,supermarket,our price
 ,Wholesale Price Range (average) / £ ,Retail / Farm Shop Price Range (average) /  £ - see note below ,
 ,week 26,week 26,
Asparagus (250g),2.29-2.69 (2.46),3.38-4.95 (4.08),
Artichokes (unit),1.27-2.82 (1.86),1.85-2.45 (2.15),
Aubergine (kg),3.45-5.00 (4.41),1.50*,
"Beans, french/flat (kg)", ,5.00-7.36 (6.18),
Beetroot (kg),0.50-1.26 (0.96),1.25-4.60 (2.49),
Broad Beans (kg),2.19-2.90 (2.46),3.10-3.80 (3.45),
"Broccoli, purple sprouting (kg)",-, ,
"Cabbage, green  (unit)",1.80-2.10 (1.62),1.74-2.35 (2.10),
"Cabbage, pointed (unit)",1.09-2.38 (1.88),-,
"Cabbage, Spring greens (unit)",0.96-2.10 (1.36),2.00*,
"Cabbage, white (unit)",1.05-1.26 (1.16),-,
Carrots (kg or bunch),0.91-1.73 (1.24),1.89-4.60 (2.80),
Cauliflower (unit), 1.40-1.88 (1.65),-,
Celeriac (kg),1.68*,1.54*,
Celery (unit),1.01-2.38 (1.58),1.59-2.30 (1.92),
"Chard, rainbow, red, green (kg)",2.28-7.35 (5.06),3.67-10.05 (7.65),
Courgettes (kg),0.84-4.13 (2.33),3.20-3.90 (3.46),
Cucumbers (unit),1.25*,1.75*,
"Kale, all types (kg)",2.80-6.00 (4.31),5.60-9.83 (7.96),
Kohl Rabi (kg),0.84-2.21 (1.21),-,
Leeks (kg),2.38-2.52 (2.45), 3.33*,
Lettuce (unit), 0.76-1.49 (1.05),1.10-2.13 (1.77),
Mushrooms - Brown (kg),3.85-7.75 (5.85), 4.80-8.15 (6.86),
Mushrooms - Portobello (kg),6.12-7.76 (6.72),8.00*,
Mushrooms - Shiitake (kg),21.45*, -,
"Mushrooms, white (kg)",3.57-7.00 (5.05), 7.25-7.40 (7.33),
"Onions, red (kg)",1.12-1.44 (1.26),-,
"Onions, white, (kg)",0.77-1.68 (1.32), 1.30-2.30 (1.82),
Pak Choi (unit),1.02-2.10 (1.45),-,
Parsnips (kg),1.26-1.54 (1.42),1.80-2.20 (2.00),
Potatoes - new (kg),1.68-2.25 (1.90),2.20*,
Potatoes - salad (kg), 0.62-1.37 (1.00),2.70*,
Potatoes - general (kg),0.45-1.05 (0.71),0.99-2.00 (1.38),
Salad Pack  (100-150g), 1.20-1.84 (1.52),1.20-2.59 (1.96),
Spinach (kg),3.50-6.90 (5.10),6.00-11.20 (8.88),
Spring onions (bunch),0.90-1.67 (1.26),1.55-2.05 (1.73),
"Squash, any (kg/unit)",1.35-3.08 (1.98),-,
Sweetcorn (unit),0.51-0.63 (0.57),-,
Swedes (kg),1.26-1.40 (1.33),-,
"Tomatoes, Cherry (kg)",3.30-7.43 (5.87),7.44-10.06 (8.71),
Tomatoes (kg),2.76-4.50 (3.53),3.15-7.25 (5.29),
Watercress (bunch),1.29-1.70 (1.54),1.90-2.47 (2.19),
 , , ,
Apples (kg),1.95-2.60 (2.29),1.73-4.20 (2.97),
Blackcurrants (225g),2.17-2.60 (2.36), 3.44*,
Cherries (kg),10.00-11.25 (10.63),13.20*,
Gooseberries (225g),2.00-2.31 (2.20), 2.85-3.20 (3.03),
Pears (kg),2.20-3.12 (2.54),-,
Redcurrants (150g),1.95-2.35 (2.20),3.12*,
Rhubarb (kg),2.53-3.52 (3.18),4.80-5.88 (5.34),
Strawberries (kg),8.58-11.11 (9.66), 17:00*,
